#1.2																																																																																																								
5565	103																																																																																																							
symbol	symbol	BR_BR8T	BR_BR10T	BR_BR14T	BR_BR16T	BR_BR17T	BR_BR20T	BR_BR6T	BR_BR15T	BR_BR21T	BR_BR29T	BR_BR31T	BR_BR32T	BR_U1	BR_U16	BR_UX7	BR_UX8	BR_UX19	BR_B24T	BR_B46T	BR_B30T	BR_B34T	BR_B36T	BR_B37T	BR_B38T	BR_B39T	BR_B41T	PR_PR29T	PR_PR13BT	PR_PR8T	PR_PR21T	PR_PR27T	PR_PR9T	PR_PR7T	PR_PR19T	PR_PR5T	PR_PR24T	PR_U40	PR_U41	PR_PR4	PR_PR3	PR_PR1	PR_PR10	PR_PR22	PR_PR12	PR_PR31	PR_PR30	PR_PR26	PR_PR16	PR_PR23	PR_PR6	PR_PR11	PR_PR17	LU_A_LU_A31T	LU_A_LU_A34T	LU_A_LU_A39T	LU_A_LU_A8T	LU_A_LU_A20T	LU_A_LU_A5T	LU_A_LU_A6T	LU_A_LU_A17T	LU_A_LU_A18T	LU_S_LU_S19T	LU_S_LU_S24T	LU_S_LU_S25T	LU_S_LU_S12T	LU_S_LU_S13T	LU_S_LU_S14T	LU_S_LU_S11T	LU_S_LU_S7T	LUA_U17	LUA_UX4	LUA_LU40T	LUA_LU44T	LUA_LU33T	LUS_U2	LUS_U19	LUS_LU41T	LUS_LU30T	LUS_LU26T	LUS_LU36T	CO_CO7T	CO_CO9T	CO_CO42T	CO_CO15T	CO_CO40T	CO_CO27T	CO_CO30T	CO_CO32T	CO_CO20T	CO_CO24T	CO_CO8T	CO_U6	CO_U12	CO_CO14T	CO_CO21T	CO_CO23T	CO_CO5T	CO_CO43T	CO_CO44T	CO_CO49T	CO_CO51T	CO_CO56T	CO_CO61T
ABI2	ABI2	40.56667	77.31333	20	39.65667	27.25	59.75	41.37333	46.65	28.51667	34.60333	55.47667	40.20333	20.46333	206.29333	41.75333	26.69333	23.43667	48.23	47.95	48.67667	53.45	33.85333	37.05667	20	29.07333	94.19	46.94667	34.14333	36.75333	47.56333	43.07667	25.43333	38.43333	20	31.52333	37.03333	40.85667	35.18667	33.71333	20	40	27.55667	48.61333	45.72333	55.18	38.91667	26.43	20.04	23.37333	52.91333	48.21	40.85667	45.60667	53.68333	26.75667	46.82667	47.65667	30.52333	32.21	70.2	55.12333	60.1	20	20	21.93667	69.53	29.74333	28.13333	47.33667	61.34667	33.92667	20	20	20	20	20	22.22333	20	20	24.66333	20	20	37.02	28.73	47.75333	20	20	25.27667	22.88	20	21.11667	24.68667	20	32.90333	20	30.84333	53.55667	31.34	46.39	24.07	20	20	20
ABL1	ABL1	340.79	347.345	411.425	491.1325	266.4625	504.6375	460.7175	351.21	504.89	427.89	362.2025	420.2025	366.145	754.5875	646.685	833.255	594.1675	304.905	367.8	702.7575	396.4225	335.36	449.6575	340.2875	400.3625	347.9125	619.53	540.5025	711.395	595.91	682.1925	664.185	749.8225	438.9125	617.8975	590.4725	583.205	684.0325	643.445	771.49	453.75	781.6875	633.92	643.37	664.5825	469.995	516.665	644.1825	579.73	688.9275	664.6075	583.205	567.4225	365.1675	290.66	365.6425	368.2675	370.015	589.2875	469.62	329.3625	422.0525	236.7525	405.7075	473.595	597.3825	340.96	426.9925	319.145	376.1125	585.0675	675.1575	605.245	508.02	396.5425	492.0575	346.7925	415.9075	478.115	479.53	488.0725	454.4775	508.8175	497.34	387.1525	538.25	634.8025	387.4375	712.47	482.475	434.4	511.8	570.335	665.9	650.9675	624.82	408.3025	458.685	374.6725	663.035	559.2275	541.62	450.6875
ABLIM1	ABLIM1	21.5	20	137.8	129.12	20	216	100.89	130.76	20	62.69	144.05	126.36	131.38	121.94	43.86	251.8	90.93	20	128.84	296.01	27.86	325.1	32.35	96.45	144.75	296.91	115.08	108.75	65.03	124.79	136.06	54.45	81.68	86.71	119.7	36.83	20	20	40.05	81.97	88	94.07	40.95	79.5	25.52	111.81	274.8	45.5	184.09	182.76	71.07	20	50.07	233.02	284.98	56.29	506.46	121.64	20	246.72	379.74	26.05	141	82.62	242.6	185.63	229.45	20	492.86	94.97	162.49	362.88	229.46	152.18	440.72	120.42	118.16	578.3	424.08	196.76	140.96	131.44	251.59	90.33	143.13	223.97	135.26	455.87	33.94	153.6	98.09	119.34	790.45	283.78	295.74	208.11	34.08	904.6	163.03	140.56	277.81	178.86	423.52
ABLIM3	ABLIM3	20	20	251.81	161.13	326.73	230.25	76.21	97.26	73.75	109.7	23.84	224.4	20	356.82	60.43	59.61	535.12	116.57	31.96	35.34	249.64	75.6	71.17	82.36	41.06	20	20	140.98	86.38	71.31	56.53	129.06	91.11	119.34	64.76	67.84	114.3	20	192.06	157.95	87	86.32	123.84	113.85	49.14	92.86	154.34	59.5	35.66	76.55	64.89	114.3	140.81	89.78	61.95	43.45	33.23	621.8	163.93	44.47	274.92	61.12	80.98	60	55.75	115.53	20	98.08	33.33	111.16	266.09	192.4	349.75	105.51	33.66	68.11	73.48	44.18	198.66	74.17	93.64	21.23	82.61	20	28.83	31.45	29.59	25.88	20	68.85	30.83	56.1	48.91	35.23	56.8	120.22	188.84	125.72	129.66	49.78	61.52	102.89	76.83
ABO	ABO	540.75	429.11	578.97	569.83	266.96	679.8	382.1	383.63	477.23	547.39	390.7	531.59	282.12	817.61	307.02	140.8	256.06	537.5	393.52	341.3	384.63	295.94	443.19	426.98	336.71	410.02	76.72	134.94	175.67	181.42	93.9	170.39	138.24	131.46	100.08	116.3	165.1	173.82	152	122.96	62	192.03	169.78	139.37	104.9	168.67	193.87	125.12	169.63	155.97	129.78	165.1	253.46	246.13	142.49	180.72	172.18	198.51	317.2	216.01	159.21	123.23	126.71	150.48	171.37	323.87	193.84	144.64	172.7	167.28	303.17	187.42	215.31	149.14	266.11	282.3	208.52	167.67	297.47	192.64	463.15	293.21	309.8	526.6	261.41	349.78	530.46	342.4	450.76	371.81	245.69	252.97	234.79	178.09	224.25	327.31	277.27	182.69	132.52	183.51	187.45	161.55	202.39
ABP1	ABP1	22.58	20	20	20	302.82	20	45.08	20	20	20	20	20	114.07	491.6	166.67	198.36	20	20	20	37.55	163.93	30.24	20	20	20	26.26	56.58	75.52	82.49	125.84	20	66.54	182.22	25.17	392.47	33.92	278.42	20	72.92	219.93	981	20	20	153.11	20	201.83	46.11	66.5	20	20	50.47	278.42	391.15	245.13	68.15	115.54	238.63	236.46	206.61	256.25	412.38	410.78	72.41	20	20	234.02	58.35	36.66	20	20	163.58	28.91	107.15	458.56	72.58	32.57	175.75	20	224.39	126.71	691.71	2142.47	2024	552.26	2755.28	1424.85	1310.29	1619.42	1633.36	2732.96	179.36	1687.12	878.49	988.33	2128.92	1133.47	232.13	1164.88	91.52	1260.18	677.71	612.54	2494.25
ABR	ABR	172.01	73.26	233.97	313.73	190.26	226.96	114.84	586.79	207.16	256.34	84.98	284.31	73.33	20	177.39	120.25	249.79	180.25	189.77	182.25	292.49	112.33	93.81	199.4	70.83	324.18	158.24	164.14	186.34	229.66	183	171.4	222.01	179.95	160.91	269.43	303.81	158.51	192.06	271.91	167	170.69	190.75	169.8	214.52	176.25	257.86	227.49	198.54	136.83	172.01	303.81	329.61	132.15	108.42	151.1	136.94	121.64	182.36	308.14	343.15	69.13	141.96	117.04	103.24	114.54	131.54	52.51	94.94	20	263.91	88.72	136.46	194.79	143.05	169.78	177.74	328.31	119.4	217.36	316.15	176.94	372.69	191.96	374.73	322.14	282.14	291.64	49.85	222.45	56.05	187.68	114.46	228	281.05	523.29	180.55	441	297.45	412.9	371.06	403.87	399.16
ACAA1	ACAA1	189.21	98.09	182.5	214.885	347.15	317.55	243.64	319.33	126.055	209.885	250.795	240.74	115.085	288.53	230.505	85.025	331.31	158.945	111.875	129.785	148.21	138.245	170.915	210.78	170.41	86.755	334.22	596.64	482.35	319.845	249.595	412.88	370.72	434.95	542.59	661.945	423.975	334.585	430.845	268.41	573.5	387.935	352.54	420.57	378.95	341.12	508.2	379.295	497.805	359.775	307.455	423.975	167.5	131.05	127.52	173.81	133.845	134.775	144.835	265.255	270.96	151.79	199.12	191.295	83.625	144.16	126.595	127.305	122.71	214.765	113.6	119.66	169.825	64.785	135.685	87.98	251.22	99.895	139.695	138.25	242.65	103.13	300.875	180.915	261.415	170.125	300.1	219.97	145.23	422.125	177.03	213.185	104.895	251.485	115.76	303.57	151.99	242.605	244.06	227.925	267.235	142.7	205.2
ACAA2	ACAA2	252.64	216.3	144.74	227.29	185.28	130.48	165.29	175.07	270.07	296.64	601.08	165.58	255.64	358.11	229.04	190.13	194.4	264.43	266.68	607.49	278.57	167.41	205.96	224.33	190.94	797.83	151.53	277.93	172.75	174.08	76.65	130.06	266	170.62	153.06	43.61	62.52	915.04	82.16	118.96	207	157.11	188.75	78.52	69.93	134.55	317.15	146.12	92.53	69.85	121.54	62.52	65.71	218.9	256.07	146.16	200.37	99.25	169.75	150.36	195.8	337.64	43.83	48.19	114.59	441.37	158.24	40.62	102.01	148.93	293.35	218.32	202.17	111.6	90.46	80.94	229.37	61.24	106.02	183.36	466.17	267.94	449.67	242.25	690.81	846.33	365.61	681.81	423.19	413.12	236.35	247.87	615.34	221.15	623.79	429.34	566.51	598.15	184	601.29	700.78	342.33	451.63
ACADL	ACADL	47.3	20	20	20	20	33.99	20	20	20	20	20	20	20	196.38	69.2	20	59.57	23.74	20	20	20	20	20	20	20	20	83.44	210.46	113.55	68.16	27.79	184.51	57.6	280.64	69.66	251.99	94.76	53.14	110.92	49.98	136	37.82	231.7	32.39	73.71	34.11	25.41	42	77.1	27.75	20	94.76	68.84	20	20	20	20	20	21.34	20	82.08	20	20	20	20	20	21.76	20	20	20	20	20	24.26	20	20	20	20	20	20	20	81.56	34.38	25.35	20	20.87	20	29.59	33.84	40.3	119.7	20	22.44	92.94	29.36	34.27	20	20	20	20	20	23.07	22.12	52.47
ACADM	ACADM	81.7	77.62	239.92	277.45	128.5	154.6	265.11	232.34	255.97	275.37	205.2	31.59	187.4	234.89	265.11	198.36	245.61	247.16	256.69	477.16	233.57	506.55	358	256.84	279.23	382.76	491.02	578.01	531.85	354.45	437.87	403.3	271.23	697.42	452.32	778.25	634.98	107.18	399.52	364.88	407	437.4	722.06	274.82	437.54	396.08	239.04	522.35	346.01	510	461.44	634.98	282.67	340.96	359.32	108.63	213.46	172.24	135.8	194.84	279.86	447.85	114.33	229.16	153.82	229.08	318.46	109.97	134.32	110.08	229.01	126.61	189.03	202.9	288.2	178.66	359.45	326.3	174.98	335.82	133.91	172.89	214.04	183.74	136.17	197.29	325.46	178.17	155.91	158.89	269.98	150.96	304.24	92.96	302.59	308.12	324.25	278.94	286.96	385.57	238.4	48.08	83.39
ACADS	ACADS	600.95	137.8	104.1	411.9	279.91	142.54	267.25	403.08	318.88	304.48	310.9	327.88	331.01	2047.24	421.05	228.16	510.03	546.13	212.74	298.22	273.21	281.9	262.03	293.69	284.36	215.11	240.71	232.61	216.43	76.55	127.43	63.52	253.43	280.64	231.56	288.81	265.72	209.85	272.17	331.89	201	32.97	136.82	218.87	152.15	308.91	268.21	328.11	268.9	246.86	224.54	265.72	342.12	441.83	333.51	320.96	370.53	578.01	1034.04	154.6	561.7	298.57	289.63	302.93	253.96	767.21	351.1	199.13	289.86	371.26	495.1	316.02	305.28	362.19	291.36	309.94	277.04	379.51	519.8	240.02	592.03	513.63	356.74	566.63	420.45	283.06	529.4	215.99	684.1	663.11	449.35	432.49	329.68	315.09	236.98	344.49	622.7	299.57	203.07	217.68	357.6	375.98	460.06
ACADSB	ACADSB	115.03	136.06	323.19	264.64	167.35	243.41	20.39	419.29	131.24	438.8	41.45	311.54	20	20	24.37	20	306.23	281.7	129.84	96.09	210	358.58	118.61	1007.85	76.99	115.13	421.97	389.7	217.4	420.52	178.21	367	601.11	234.03	297.3	283	205.15	321.53	286.55	263.91	164	296.77	230.7	218.87	219.24	289.01	179.75	257.24	465.52	193.28	229.69	205.15	70.93	127.1	81.57	74.07	214.46	43.79	64.02	81.53	78.12	47.09	53.35	104.25	46.46	213.28	91.98	32.69	102.01	52.88	31.63	64.8	115.24	83.19	82.04	51.33	69.51	67.27	65.88	104.04	97.66	54.6	55.39	144.74	143.13	70.53	124.69	99.53	46.67	72.03	52.31	73.44	40.11	125.25	125.35	159.61	122.51	98.22	92.48	130.8	71.14	85.58	94.64
ACADVL	ACADVL	266.61	109.89	20	266.77	156.39	20	20	20	20	20	198.98	74.07	35.65	20	396.68	120.25	171.4	185.64	95.88	202.13	207.85	150.13	20	462.75	243.3	1001.83	687.62	615.27	396.95	698.42	479.07	613.02	888.06	498.82	779.06	887.77	776.63	55.84	556.66	832.72	1344	236.64	415.46	554.55	336.42	587.49	375.5	259.86	590.81	464.07	604.61	776.63	915.81	258.24	335.57	241.95	193.32	193.64	20	214.96	1258.88	206.39	502.09	77.7	147.63	20	494.5	206.07	284.81	298.95	205.02	303.06	181.95	335.81	388.13	113.51	257.18	140.56	20	380.12	144.99	42.47	209.35	20	804.12	48.61	20	122.43	20	20	56.99	400.87	199.57	80.24	256.57	856.67	98.56	837.81	338.44	438.28	312.42	448.1	631.53
ACAT1	ACAT1	103.21	28.78	35.69	145.13	83.67	20	41.86	87.53	41.22	49.25	71.51	23.96	66.2	20	28.27	20	20	68	64.92	76.21	145.71	88.56	93.81	105.12	84.18	50.5	87.27	48.34	45.61	48.24	56.53	64.53	57.6	94.17	77.51	47.49	20	116.18	40.05	44.98	42	72.74	121.84	56.93	50.09	66.33	61.17	71.75	22.17	80.37	35.02	20	45.89	68.59	73.31	20	172.18	20	37.83	20	28.68	44.08	20	20	55.75	20	26.7	20	45.45	51.8	85.06	20	26.28	20.29	20	24.68	44.68	20	20	37.08	52.36	34.38	28.16	88.28	71.57	36.22	66.57	85.6	24.39	33.9	56.05	22.44	78.26	23.49	38.19	47.48	83.83	20	70.55	65.4	20	40.39	52.47
ACD	ACD	65.58	20	20	264.64	130.49	20	334.87	153.45	419.75	184.7	502.63	20	255.64	655.89	20	20	96.15	202.91	116.86	60.75	100.71	20	20	20	20	164.62	68.09	20	20	140.52	21.08	20	272.28	108.16	169.74	20	256.92	20	171.52	30.99	141	104.74	20	20	36.86	20	20	181.12	86.74	299.49	163.77	256.92	224.26	240.08	259.17	463.16	332.27	541.03	118.34	185.31	135.48	68.13	168.63	237.03	194.08	393.97	72.2	281.36	294.91	306.5	219.2	37.88	20	166.38	249.28	273.42	114.19	25.1	269.68	400.72	20	373.09	204.65	467.06	269.37	357.4	527.29	20	393.49	306.13	172.83	20	135	79.26	20	20	196.21	81.52	349.89	20	23.07	20	20
ACE	ACE	301.01	343.64	29.74	20	62.76	20	133.09	239.9	20	20	220.74	20	113.05	192.53	20	20	102.42	251.48	362.56	123.71	20	20	52.84	20	167.33	20	127.55	89.62	125.2	182.47	61.32	81.67	100.53	100.7	198.2	129.87	91.83	20	52.38	177.94	110	20	109.86	63.8	20	68.22	99.76	125.99	109.87	85.16	189.52	91.83	68.84	20	20	108.63	88.61	20	255.12	20	24.72	20	20	78.68	20	321.89	107.8	59.44	136.34	131.67	135.22	20	155.67	184.64	20	20	20	33.13	178.07	119.5	85.58	178.96	20	260.73	20	168.69	116.24	20	450.76	161.01	117.71	81.6	361.96	20	118.49	214.17	230.29	20	49.57	125.92	95.17	20	45.91
ACHE	ACHE	20	20	20	20	20	20	20	20	20	20	20	20	20	130.92	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	90.75	20	20	33.58	20	20	20	20.12	20	20	20	20	20	27.65	20	28.73	45.45	20	112.32	20	20	20	20	20	20	20	20	20	20	20	20	22.58	29.82	20	20	20	20	20	20	37.74	20	20	20	20	20	20	20	20	20	20	57.16
ACLY	ACLY	618.16	230.26	792.12	769.38	879.58	902.37	985.3	528.44	457.71	607.83	771.04	1005.44	854.51	332.44	1542.88	1024.67	1198.79	496.48	342.58	995.18	847.48	955.85	830.3	1095.63	600.54	582.72	1237.14	1719.94	1574.19	1410.47	1240.79	1310.73	840.93	1429.33	1026.31	1778.44	843.06	1043.83	1839.44	900.7	1323	1070.7	1353.23	1177.8	1327.74	1103.91	1381.54	1029.82	1905.45	1716.57	1610.92	843.06	451.64	1026.91	686.63	450.33	567.88	497.25	471.43	432.03	432.15	485.92	666.91	343.25	726.78	375.21	395.6	1023.39	737.27	2162.78	668.49	422.69	571.13	742.63	923.51	654.43	297.89	433.73	401.43	468.71	567.87	975.69	630.86	620.01	868.73	349.78	423.73	754.47	758.34	287.07	545.57	734.42	672.08	604.74	996.89	468.74	378.6	688.52	516.72	445.11	1059.34	672.16	592.17
ACO1	ACO1	289.19	206.71	243.88	280.65	267.96	421.03	244.71	164.26	353.58	340.3	228	277.78	225.09	468.49	201.75	195.27	391.93	243.92	207.75	171.2	211.07	209.53	244.78	267.68	230.98	189.86	236.88	307.13	296.98	311.46	190.67	313.57	223.06	277.85	250.2	261.68	329.21	111.68	232.11	286.9	241	441.28	290.62	361.19	311.85	211.31	130.81	289.61	398.05	296.62	313.12	329.21	296.23	220.92	135.26	478.96	427.92	421.34	267.73	364.26	169.1	137.26	136.24	168.18	184.79	143.17	158.24	105.01	286.83	188.87	522.36	829.43	319.43	376.39	194.59	197.42	270.09	271.08	354.08	218.39	308.1	177.95	168.98	388.02	336.96	365.03	361.39	291.64	365.91	455.49	283.06	243.79	228.92	323.9	318.26	281.85	423.73	304.48	284.1	284.05	412.39	351.94	201.45
ACOX1	ACOX1	142.445	167.895	130.365	128.055	164.365	265.885	90.695	218.835	405.65	131.53	102.08	68.28	78.935	271.465	51.425	297.025	152.595	353.475	96.385	89.465	84.64	68.04	77.1	189.105	96.495	97.455	188.445	288.5	259.13	285.24	242.41	402.295	214.16	179.48	196.725	150.225	209.055	147.705	214.14	187.94	168	152.265	197.745	185.01	124.74	300.38	367.97	130.365	190.83	116.735	194.155	209.055	240.95	254.2	261.23	165.415	165.63	96.82	109.61	169.42	196.3	124.735	133.855	101.305	162.085	106.765	102.86	99.07	80.295	299.485	179.935	103.21	106.645	160.8	35.765	112.03	96.815	43.675	108.075	131.34	216.475	121.835	193.385	120.1	248.985	145.345	290.59	192.595	187.73	184.845	128.45	179.525	143.32	142.38	240.9	56.065	90.735	220.505	119.17	265.02	120.55	105.775	91.825
ACP1	ACP1	600.95	757.05	698.93	536.75	560.82	866.19	895.14	605.16	882.88	807.09	800.06	622	488.87	1464.52	414.23	836.59	706.52	648.67	541.34	1351.94	556.06	562.71	776.38	1787.04	771.98	1645.15	742.28	700.86	775.45	769.73	632.37	754.17	815.8	759.88	666.22	691.99	799.1	888.02	720.99	402.86	547	716.71	676.12	738.09	712.54	589.39	639.01	773.46	840.44	854.46	819.88	799.1	756.22	586.08	1055.25	545.13	809.53	655.86	1023.37	789.94	477.64	722.37	837.45	727.81	535.79	1257.96	548.9	697.45	805.95	1148.3	992.38	543.32	733.88	693.93	829.9	747.22	593.79	833.32	1623.23	563.48	906.17	944.35	1300.21	1250.28	1080.45	1073.16	966.87	1008.28	1222.9	1169.45	864.13	704.84	917.63	798.49	788.31	968.8	919.32	996.92	1124.97	960.51	881.5	826.97	723.35
ACP2	ACP2	247.26	82.86	1300.7	448.18	336.69	81.14	163.14	264.76	222.35	255.22	134.73	345.31	173.14	20	512.67	558.07	538.25	355.09	245.7	155.74	383.56	280.82	103.52	275.26	294.62	210.06	271.4	357.48	406.65	396.4	167.67	476.9	350.82	328.2	380.7	476.83	339.96	162.11	309.14	423.86	623	416.06	388.49	306.23	380.84	509.79	551.49	338.61	657.32	429.62	379.04	339.96	157.5	110.96	268.46	350.58	227.55	702.57	322.05	320.85	381.72	197.37	134.33	195.72	93.94	20	206.7	188.23	199.97	183.47	388.23	503.44	299.21	285.08	140.95	134.24	504.42	319.27	385.99	465.62	169.15	242.66	135.18	230.96	146.11	201.1	58.12	188.12	56.21	333.68	123.31	225.43	75.33	200.6	209.56	216.19	228.45	312.34	202.11	175.7	148.04	240.4	168.66
ACP5	ACP5	56.98	60.18	187.37	419.37	177.31	51.53	133.09	20	246.21	379.48	93.27	130.72	158.88	259.27	360.62	37	303.09	172.69	177.78	64.06	234.64	114.49	210.27	114.87	314.13	439.31	32.61	185.29	194.11	41.95	81.44	225.85	62.83	127.74	226.65	201.59	21.49	20	60.6	45.98	94	308.41	1210.42	78.52	20	81.49	73.41	214.36	321.91	153.09	56.65	21.49	236.77	141.22	113.58	234.05	171.17	332.79	316.23	266.84	68.23	188.36	92.41	173.1	361.33	76.03	250.22	219.94	149.47	104.69	137.41	234.27	396.25	322.62	171.45	180.64	147.95	202.81	189.39	454.29	68.47	68.75	95.76	110.86	63.61	195.38	69.74	42.8	113.49	39.19	56.99	43.86	148.7	88.07	233.06	101.02	120.67	138.49	179.23	74.19	39.41	22.12	81.52
ACPP	ACPP	38.705	52.765	61.96	21.74	32.415	105.81	74.595	38.9	71.585	21.755	31.245	40.305	20	26.685	20	27.24	63.235	57.49	46.955	24.91	36.965	20	55.83	32.215	40.285	35.25	9682.785	11214.825	12103.92	8301.315	6470.295	11610.545	5188.54	7088.365	7693.91	16000	8493.615	2175.48	11079.285	5422.675	11220	10041.705	6579.39	9885.145	4791.69	8842.205	5405.225	7808.96	9074.235	3625.47	10772.755	8493.615	74.06	35.22	138.875	20	30.71	20	62.08	42.355	34.23	20	20	26.23	20	56.775	59.34	20	20	91.195	60.71	49.38	29.82	46.67	73.63	31.59	45.675	126	50.44	21.33	45.24	26.175	30.51	64.405	59.145	55.28	63.4	35.88	68.94	32.835	38.025	34.68	37.39	23.975	46.025	43.945	48.36	25.225	26.205	22.2	41.335	22.02	22.485
ACR	ACR	890.14	961.14	934.88	668	218.15	188.59	368.15	488.45	462.05	614.55	528.54	394.33	361.56	1202.68	265.11	269.27	304.14	672.41	543.34	420.82	462.85	331.58	326.73	373.88	519.44	454.46	210.99	187.3	197.02	363.89	210.79	396.24	281.71	340.32	242.35	302.38	259.85	362.96	396.44	220.93	135	447.1	302.6	289.54	340.2	318.38	189.16	337.73	379.74	356.9	149.35	259.85	388.02	193.68	208.57	278.49	410.81	235.49	705.21	342.02	541.92	269.51	187.69	273.42	132.14	468.03	517.25	196.16	291.88	445.72	465.65	90.72	273.94	393.64	215.63	231.96	133.06	213.85	464.22	200.88	568.87	492.39	401.8	734.98	329	485.12	548.42	304.57	770.01	654.64	254.1	619.15	249.46	236.81	277.13	349.54	391.49	152.24	314.61	271.36	276.85	163.47	284.84
ACSL1	ACSL1	623.53	289.56	145.73	197.41	131.49	195.17	1804.23	433.34	278.75	276.49	355.47	151.41	154.81	32.09	134.5	200.41	543.48	138.15	245.7	188.87	286.07	388.82	526.22	249.25	429.1	218.14	444.03	607.21	537.67	535.87	700.4	495.05	933.09	368.29	739.81	514.63	728.76	272.89	628.55	437.85	643	639.12	181.76	272.86	480.07	350.6	508.2	452.35	682.37	478.42	621.09	728.76	398.45	258.24	67.11	464.15	266.82	288.03	174.6	488.15	89	82.16	180.07	182.94	230.22	58.26	152.31	272.44	262.59	1390.05	512.55	115.64	456.9	182.61	186.17	240.85	120.15	91.36	89.55	171	103.71	117.28	20	171.43	65.6	138.2	98.27	230.92	29.7	64.62	48.58	313.15	134.02	73.39	80.3	20	37.77	54.02	65.78	20	46.14	38.46	163.04
ACSL3	ACSL3	198.345	238.98	271.145	214.485	487.6	286.17	218.955	219.37	131.24	179.665	264.785	264.16	304.02	238.1	96.49	179.855	253.445	232.055	134.335	182.25	497.67	282.975	312.17	405.855	153.985	113.615	761.465	646.49	836.11	351.83	835.495	522.275	875.49	686.23	770.225	520.935	398.08	721.405	305.035	1082.635	761	292.895	656.64	691.955	556.615	918.665	574.075	401.17	899.23	270.31	767.35	398.08	183.06	115.505	207.54	85.425	144.49	159.1	120.28	129.185	219.54	124.235	100.035	150.975	151.755	175.755	71.21	125.325	76.255	172.14	131.95	122.62	245.635	187.685	85.2	109.565	69.01	132.525	98.815	72.625	153.045	178.96	165.225	255.6	437.845	180.13	196.015	315.525	339.4	246.815	114.44	290.705	127.18	221.155	175.78	93.95	149.225	164.025	142.525	303.09	108.145	150.49	242.21
ACTA1	ACTA1	121.48	696.87	136.81	137.66	148.42	94.29	291.94	112.39	146.42	175.75	143.02	140.52	68.24	223.34	71.15	128.47	73.16	146.79	89.89	123.71	279.64	232.21	105.67	288.27	92.39	198.95	91.11	125.87	77.64	103.82	64.2	75.62	124.62	473.65	63.78	36.83	21.49	57.64	61.62	57.98	126	149.36	79.9	143.3	84.11	70.12	31.06	67.37	75.18	150.22	46.35	21.49	20	20	43.37	225.16	36.25	36	38.8	46.59	53.4	124.24	119.09	140.65	200.28	78.99	160.22	245.69	108.07	115.48	56.71	45.86	139.5	87.25	102.03	98.71	52.63	57.23	33.97	106.1	90.62	22.24	61.96	113.94	32.8	93.4	196.54	123.42	112.43	62.5	38.3	147.9	124.24	49.91	66.59	83.85	64.48	94.29	79.13	101.52	97.09	151.93	29.05
ACTA2	ACTA2	1997.45	510.23	1739.88	3962.13	3543.21	2469.19	7332.86	3648.27	1090.04	1793.28	1587.69	4982.53	753.68	2750.62	904.48	5492.33	2472.83	1386.92	422.49	1683.3	3466	4251.11	1045.96	3096.17	1845.77	2891.38	8027.03	6443.72	8210.65	5109.15	6781.69	5113.86	7039.54	6713.09	7598.25	3267.09	641.82	1051.04	5373.52	9550.78	8515	7896.43	4281.4	6825.33	6479.01	6597.9	5128.07	4478.01	8908.46	6908.39	4186.94	641.82	1763.81	1372.91	596.8	1377.64	1961.4	416.48	8151.09	2093.43	2857.95	2894.49	282.01	1892.32	2688.26	1944.2	1887.01	856.95	1076.61	1999.82	2043.64	5989.43	3240.78	1532.95	454.39	1524.05	853.95	153.61	2572.26	3734.24	2340.93	5636.76	917.19	1040.87	443.31	865.39	3700.52	655.93	497.43	353.8	2440.11	7001.44	5604.56	1653.74	3170.86	1762.84	828.12	1090.23	1948.68	918.54	645.98	428.87	773.01
ACTB	ACTB	11684.76	4828.39	8485.27	11239.73	13417.77	11165.09	13925.13	10794.6	12909.08	6561.93	12315.97	9681.84	11572.03	4192.04	12232.9	8776.01	8847.21	7501.21	7160.31	9908.7	8070.9	8560.54	10396	8856.1	9794.46	8348.94	5160.51	7309.73	7335.24	6720.96	8292.67	6382.24	6442.61	5734.09	6770.13	5718.14	3644.8	6801.58	6304.02	6419.84	5605	7587.05	5909.27	6262.93	6382.62	4922.6	5340.76	6230.54	7357.7	7315.05	5945.15	3644.8	11499.72	8639.92	7595.3	9681.99	6894.09	9301.7	11600.48	8240.32	4779.41	7211.69	11733.81	7755.16	8018.34	10575.12	6789.49	9239.25	7521.14	10613.18	12612.99	9225.4	7613.72	12000.81	9738.92	7885.76	8095.62	11189.59	7736.33	8384.26	10285.01	12962.01	7274.59	8994.22	9144.52	8252.68	11803.19	8400.68	12540.79	8429.81	8394.64	9845.27	8964.95	10220.89	10192.18	10441.64	8698.5	9822.89	8136.97	8435.69	8733.28	10305.43	8065.56
